Condition,DiscountedPrice,Discount,Comments
"df.loc[df.ComMT.isin(['6661a', '6662a', '6663a', '6664a'])]",item['ComListPrice']*0.8,0.2,Discount 20%
"df.loc[(df.ComMT == '6911a') & (df['Indirect(1/0)'] == 0) & (df.Countrycode.isin(geomap.loc[(geomap.Geo == 'NA'), 'Countrycode']))]",item['ComListPrice']*0.8,0.2,Discount 20%
df.loc[df.ComMTM == '5639-RH7a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-12Sa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-RLEa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-S11a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-SAPa'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-U16a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-XRLa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5771-KVMa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5771-LNXa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5773-KVMa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5773-LNXa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMT == '7063a'],item['ComTMC']/0.9,0.1,TMC GP 10%
df.loc[df.ComMTM == '5771-CEBa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5773-CEBa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5771-CECa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5773-CECa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-RHSa'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMT == '8001a'],item['ComTMC']/0.7,0.3,TMC GP 30%
df.loc[df.ComMTM == '8335-GTGa'],item['ComTMC']/0.71,0.29,TMC GP 29%
df.loc[df.ComMTM == '5639-CE1a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-CE2a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-CE3a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-CE4a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5639-N3Ua'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-N5Ua'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-NP3a'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-NP5a'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-NTSa'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-NUPa'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5639-VE1a'],item['ComListPrice']*0.82,0.18,Discount 18%
df.loc[df.ComMTM == '5773-N3Ua'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5773-NP3a'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5775-N5Ua'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMTM == '5775-NP5a'],item['ComListPrice']*0.57,0.43,Discount 43%
df.loc[df.ComMT == '8005a'],item['ComTMC']/0.7,0.3,TMC GP 30%
df.loc[df.ComMT == '9008a'],item['ComTMC']/0.7,0.3,TMC GP 30%
df.loc[df.ComMT == '9009a'],item['ComTMC']/0.49,0.51,TMC GP 51%
df.loc[df.ComMT == '9223a'],item['ComTMC']/0.63,0.37,TMC GP 37%
df.loc[df.ComMTM == '8335-GTHa'],item['ComTMC']/0.71,0.29,TMC GP 29%
df.loc[df.ComMTM == '8335-GTXa'],item['ComTMC']/0.71,0.29,TMC GP 29%
df.loc[df.ComMTM == '9006-12Pa'],item['ComTMC']/0.7,0.3,TMC GP 30%
df.loc[df.ComMTM == '9006-22Pa'],item['ComTMC']/0.7,0.3,TMC GP 30%
